review,link
"Fiz um pedido na Pichau Informática e não recebi o produto
No dia 19/03/2021 eu fiz o pedido (1002600856) de alguns produtos no valor de R$ 983,01através do site da Pichau Infor...
Não respondida | Há 3 dias | Paraíso do Tocantins",https://www.reclameaqui.com.br/pichau-informatica/fiz-um-pedido-na-pichau-informatica-e-nao-recebi-o-produto_tW9NXIcx5ImfJhrb/
"Produto não sai de produção
Comprei uma placa de vídeo no dia 30/03/2021, pedido numero 1002633974, optei pagar por boleto tendo em vista o desco...
Respondida | Há 3 dias | Xique-Xique",https://www.reclameaqui.com.br/pichau-informatica/produto-nao-sai-de-producao_u_1I_-1VSdr2WuWg/
"Status do meu pedido não atualiza
Fiz um pedido (n 1002645800) de um computador no ""Monte o seu"" no dia 06/04. Acompanhando o status dele pelo...
Não respondida | Há 3 dias | Belo Horizonte",https://www.reclameaqui.com.br/pichau-informatica/status-do-meu-pedido-nao-atualiza_YwaDCq0uMUnxeTAj/
"Gabinete errado, problemas para troca
Realizei a compra de pedido na Pichau no dia 17/03. Nesse pedido, além de outras peças, também comprei o Gabinete Game...
Respondida | Há 3 dias | Guarulhos",https://www.reclameaqui.com.br/pichau-informatica/gabinete-errado-problemas-para-troca_YN4ZxL-EuHKQqXW4/
"Não enviam o produto
Comprei um produto no site desta empresa chamada Pichau Informática, pagando o mesmo a vista via PIX. Passou mais de 7...
Respondida | Há 3 dias | Porto Alegre",https://www.reclameaqui.com.br/pichau-informatica/nao-enviam-o-produto_jNXkeLL7EX0AK0f6/
"Compra realizada - PRODUTO NÃO ENTREGUE!
Fiz uma compra no dia 31/03 com data de entrega de até 4 dias úteis (paguei o frete mais caro por essa data), porém nã...
Não respondida | Há 3 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/compra-realizada-produto-nao-entregue_THIzmetlxi5FKkXU/
"Pacote danificado e itens faltando
Recebi minha encomenda hoje 08/04/21 por volta de 20h de uma entregadora apressada que pediu pra eu assinar com ...
Respondida | Há 3 dias | Fortaleza",https://www.reclameaqui.com.br/pichau-informatica/pacote-danificado-e-itens-faltando_IQgZXcZqJAnbkRL5/
"Não recebi ainda meu produto após 20 dias do pagamento (PIX)!
Fiz a compra de um PC no dia 20/03 com forma de pagamento PIX.Em 25/03 produto foi despachado como previst...
Respondida | Há 3 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/nao-recebi-ainda-meu-produto-apos-20-dias-do-pagamento-pix_gPPspvhBFB4PCUKc/
"Computador vendido com defeito
A Pichau me vendeu um computador completo em Novembro 2020 presente de Natal dos meus filhos e está um dando defeito,...
Não Resolvido | Há 3 dias | Rio de Janeiro",https://www.reclameaqui.com.br/pichau-informatica/computador-vendido-com-defeito_lZSJUo4sP-gfYbFl/
"Demora na postagem, ressarcimento frete
Fiz 3 compras separados na Pichau, pedidos 1002635227, 1002635226 e 1002633349, todos pagos por boleto e compensados ...
Não Resolvido | Há 3 dias | Rio de Janeiro",https://www.reclameaqui.com.br/pichau-informatica/demora-na-postagem-ressarcimento-frete_-0gmqS90xuE1ntaQ/
